total_t,total_$
595,29460658
563,29460737
562,29461459
576,29462630
611,29462756
612,29462986
591,29463183
625,29463222
582,29464212
608,29464252
587,29464449
578,29465478
596,29465793
558,29465904
609,29466029
614,29466444
628,29467005
592,29467059
621,29467667
610,29467710
574,29467978
631,29468159
624,29468271
610,29468334
604,29468698
580,29469559
606,29469600
590,29469885
600,29469964
620,29470771
594,29471141
633,29472240
626,29472352
590,29472407
604,29472425
598,29472789
629,29473506
622,29473618
608,29473681
600,29473691
602,29474045
584,29474164
604,29474947
588,29475232
598,29475311
618,29476118
639,29476129
613,29476313
592,29476488
600,29477472
645,29477525
624,29477700
596,29478136
596,29478738
585,29478864
621,29479218
600,29479392
592,29479402
567,29479569
567,29480193
584,29480279
563,29481459
580,29481545
630,29481956
613,29482986
551,29483000
592,29483183
626,29483222
583,29484212
609,29484252
588,29484449
579,29485478
597,29485793
559,29485904
610,29486029
615,29486444
629,29487005
593,29487059
607,29487078
597,29487187
575,29487978
632,29488159
625,29488271
611,29488334
593,29488453
605,29488698
581,29489559
607,29489600
601,29489964
621,29490771
595,29491141
634,29492240
627,29492352
591,29492407
605,29492425
630,29493506
623,29493618
609,29493681
601,29493691
603,29494045
605,29494947
618,29495047
589,29495232
599,29495311
619,29496118
614,29496313
593,29496488
585,29496498
601,29497472
646,29497525
625,29497700
589,29497754
626,29497952
597,29498136
597,29498738
586,29498864
622,29499218
601,29499392
568,29500193
585,29500279
597,29500658
564,29501459
617,29501490
581,29501545
613,29502756
614,29502986
593,29503183
627,29503222
584,29504212
610,29504252
589,29504449
581,29504756
580,29505478
598,29505793
560,29505904
616,29506444
630,29507005
594,29507059
608,29507078
598,29507187
612,29507710
576,29507978
633,29508159
626,29508271
612,29508334
594,29508453
606,29508698
582,29509559
608,29509600
602,29509964
622,29510771
596,29511141
635,29512240
628,29512352
592,29512407
606,29512425
600,29512789
575,29512956
631,29513506
624,29513618
610,29513681
602,29513691
604,29514045
571,29514846
619,29515047
590,29515232
600,29515311
620,29516118
615,29516313
594,29516488
602,29517472
647,29517525
626,29517700
627,29517952
598,29518136
573,29518303
598,29518738
587,29518864
623,29519218
602,29519392
594,29519402
569,29520193
586,29520279
598,29520658
608,29521361
565,29521459
582,29521545
632,29521956
614,29522756
615,29522986
594,29523183
628,29523222
586,29523490
585,29524212
611,29524252
563,29524284
590,29524449
581,29525478
599,29525793
561,29525904
617,29526444
631,29527005
595,29527059
609,29527078
577,29527978
634,29528159
627,29528271
613,29528334
605,29528344
607,29528698
583,29529559
609,29529600
603,29529964
623,29530771
597,29531141
636,29532240
629,29532352
593,29532407
607,29532425
601,29532789
591,29532898
632,29533506
625,29533618
611,29533681
603,29533691
605,29534045
607,29534947
620,29535047
591,29535232
601,29535311
621,29536118
642,29536129
652,29536259
616,29536313
595,29536488
617,29537384
603,29537472
627,29537700
591,29537754
628,29537952
599,29538136
574,29538303
599,29538738
588,29538864
623,29538966
624,29539218
603,29539392
595,29539402
584,29540130
570,29540193
567,29540737
566,29541459
619,29541490
583,29541545
615,29542756
616,29542986
554,29543000
595,29543183
