total_t,total_$,tw0,tw1,tw3,tw4
597,29056118,111,164,93,178
600,30463000,91,134,108,166
571,29560193,73,137,102,176
581,29760193,78,147,93,165
604,29196118,99,148,114,167
592,29512407,102,116,105,185
633,30009600,111,118,95,142
602,29555311,106,117,99,168
631,29842986,117,151,128,135
626,30298864,91,184,131,145
635,29922986,103,133,133,125
579,30252839,72,169,106,159
630,31272839,70,173,106,126
622,30218864,86,156,135,147
579,29014045,97,156,101,162
588,30748820,66,140,105,165
573,28412352,99,162,110,167
600,30544266,83,111,125,168
626,29517700,107,168,59,137
638,29667005,106,158,136,138
583,29094045,104,127,94,168
601,29369600,109,123,119,161
634,29587005,111,152,128,138
601,29692407,103,117,99,171
618,30620557,85,125,129,136
607,30445904,78,132,95,157
602,30503000,92,122,91,170
614,30743000,75,125,118,133
577,30003000,91,126,102,175
612,29755311,105,117,100,153
617,30118864,91,161,127,131
596,29907978,89,164,104,149
649,30329600,130,124,76,126
622,29347005,110,159,128,140
606,30153325,91,152,60,167
633,31332839,69,160,108,135
598,30181459,88,121,121,170
595,29249600,107,123,97,164
600,29778864,87,183,129,170
587,29255311,107,117,82,159
615,29207005,97,181,127,160
581,29607978,88,147,100,180
581,29135311,95,107,107,183
628,31023000,86,124,114,135
602,30261459,90,124,112,165
634,30029600,113,122,86,131
604,28987005,102,176,127,169
630,30378864,77,176,129,134
637,31045904,93,120,120,132
644,30102986,130,157,129,129
613,29167005,98,173,129,149
607,30812839,71,164,92,145
622,30031141,94,134,108,139
645,30491141,130,135,103,125
596,29825478,92,142,115,164
613,30400193,88,139,94,138
589,28813618,99,143,108,170
584,29985904,90,129,119,169
640,30149600,97,123,112,128
589,29452407,100,117,97,155
594,28787005,97,161,130,165
644,30704212,86,180,105,119
597,30484266,89,115,102,151
611,29892407,110,116,106,169
578,29865904,83,130,103,173
629,30095311,115,116,99,133
628,29909600,127,124,104,133
628,30465478,93,145,91,110
609,29402986,108,142,127,150
643,29848271,101,144,127,129
614,30374846,92,132,132,147
619,29895311,119,115,101,140
624,31746280,66,123,127,126
590,28986444,97,186,101,106
635,30478864,87,167,134,132
592,30994532,72,132,110,144
615,30440193,84,139,113,155
645,30724212,87,173,112,134
592,29398738,83,109,93,176
630,30905904,87,140,89,126
586,29311141,115,138,106,188
610,30505904,85,131,110,147
623,31132839,69,172,85,138
592,30828820,67,139,101,175
610,29233618,103,142,87,141
576,30508820,70,148,102,176
629,29802986,134,134,127,141
625,30015311,109,115,105,111
629,31124266,92,117,107,130
612,30545904,90,123,111,163
597,29289600,105,121,88,164
621,29453618,97,145,101,139
592,29618864,84,170,127,170
611,29778738,80,105,101,120
643,30451141,111,123,111,132
575,28768334,108,151,99,177
625,29849600,100,114,94,134
601,30564266,82,115,90,170
644,29913618,106,143,95,131
609,30643000,88,135,119,145
619,30601459,89,121,97,135
610,30421459,88,117,107,162
603,29448698,109,121,127,174
608,29067005,103,156,136,158
601,29535311,107,112,98,163
632,31103000,93,120,96,136
631,29527005,109,168,131,133
574,28432352,99,147,100,188
610,30744266,88,116,109,157
590,30021459,88,120,100,183
578,30548820,68,155,96,176
641,29936118,103,155,110,132
621,30011141,97,131,118,142
641,31283000,91,129,109,126
647,30764212,88,182,104,120
613,29330771,94,139,131,137
592,29827978,85,151,91,173
614,30420193,93,144,111,154
629,29929600,122,119,84,144
629,29487005,95,179,133,128
619,30685904,88,120,112,135
635,31163000,77,130,102,127
596,30141459,82,123,104,174
575,29324212,76,169,107,178
655,30052352,129,148,101,134
581,30083000,86,127,111,176
613,30565904,89,132,83,154
636,30625478,92,142,93,130
584,29271141,97,128,106,172
636,30498864,86,163,133,127
640,31263000,92,128,121,125
648,30394045,101,133,85,133
642,30980193,89,143,106,144
576,29660193,77,140,108,171
610,29745793,101,121,135,146
583,30123000,88,130,99,180
587,31051627,64,121,106,175
565,29605904,85,126,87,188
603,28967005,104,168,132,155
608,30465904,80,124,112,150
614,30185478,83,143,101,131
616,29911141,100,126,87,151
577,28889600,101,123,86,184
582,30184266,80,117,92,170
575,29640193,85,131,94,158
596,30592839,71,168,108,164
583,30332839,67,170,108,158
622,30745904,91,130,91,152
598,30347170,76,116,110,173
620,29749600,107,123,89,148
597,31094532,71,128,85,159
600,30672839,70,169,108,155
603,30047978,86,147,92,164
621,31092839,70,167,113,118
585,29921459,90,123,97,172
564,29104212,89,165,86,197
600,30387170,87,108,117,150
615,30100279,89,103,116,150
650,30434045,126,122,108,129
607,29812407,104,115,96,163
586,29069600,111,124,92,169
605,29007005,105,175,127,156
584,29195311,104,112,107,184
639,29687005,121,180,129,138
599,29222756,88,128,88,168
570,29863000,77,128,74,180
628,30338864,74,159,130,115
614,29714045,112,141,100,156
587,30284266,92,110,100,167
614,29871141,120,130,104,160
602,29156118,124,178,108,166
595,29016118,100,147,94,163
589,30243000,90,136,98,174
589,28896118,103,162,99,172
615,30605904,93,127,97,149
628,31548820,67,143,106,136
598,29076118,106,137,111,163
631,31608820,71,142,93,130
612,29147005,113,178,130,140
611,29569600,98,121,94,149
606,29512425,102,144,118,106
599,29329600,99,116,109,160
617,29247005,105,170,129,148
627,29844252,128,124,127,145
587,28856118,105,155,91,172
585,29092425,111,138,79,105
596,28953618,114,143,114,172
584,30352839,68,164,119,156
643,30209600,112,124,95,134
594,28913618,101,145,104,177
633,30438864,92,159,142,136
648,30784212,93,175,105,121
626,29553618,104,145,110,130
571,28372352,98,152,100,195
636,30235311,102,116,94,134
615,30205478,75,145,108,134
632,29673618,114,145,98,139
650,30268334,121,140,89,129
602,28947005,97,160,127,163
579,31452296,61,136,103,170
580,29191141,101,131,83,155
624,29513618,108,145,80,148
588,30147170,89,113,107,163
627,30634846,90,139,129,129
583,30814532,69,129,102,175
597,30327170,80,107,102,163
596,30908820,72,140,104,142
602,30712839,69,162,109,133
646,30744212,85,183,119,133
618,30032407,111,107,104,156
579,29885904,82,135,78,175
596,31231627,72,136,85,166
614,29952407,115,116,99,159
596,29592407,101,112,103,163
585,29049600,98,119,117,162
602,31596314,56,163,99,132
617,30012407,104,109,113,132
627,30055311,124,117,96,152
586,28613506,102,105,97,171
623,30132407,99,114,104,151
597,28847005,101,168,129,149
596,30464266,91,115,92,167
622,29955311,118,115,101,120
606,29153618,127,141,76,172
625,30091141,94,129,115,156
607,29489600,114,120,112,142
604,30340557,73,132,127,146
590,30472839,70,157,99,169
632,30312407,116,114,101,120
604,29858864,87,162,132,143
600,29672407,109,105,98,154
600,29349600,128,117,93,179
589,29129600,110,123,88,187
637,31203000,88,125,118,137
584,29225793,101,121,128,170
625,30278864,86,160,130,134
590,29578864,80,169,129,167
621,30092407,108,110,100,129
593,30247170,90,111,98,175
597,29332425,108,137,101,108
590,30788820,72,156,107,171
590,29149600,95,123,104,165
603,29093618,106,145,110,166
620,30621459,91,120,95,126
609,29958864,79,173,133,163
629,29696118,108,160,99,124
588,30432839,72,161,115,173
593,29375311,119,115,98,180
626,29427005,110,177,127,137
